[ T-Track ]
    title = Fluence in organ and tissue regions
     mesh =  reg            # mesh type is region-wise
      reg = 1400 1401 1700 1701 1900 1901 2200 2201 2400 2401 2600 2900
            2901 3200 3201 3400 3401 3700 3701 3900 4100 { 4300 - 4323
            } 4500 4501 4700 4900 5100 5300 5500 5600 { 7600 - 7602 } {
            8000 - 8002 } { 8400 - 8402 } 9700 9900 { 7200 - 7203 }
            6200 6300 6400 6500 12900 13000 { 13700 - 13702 } { 11000 -
            11002 } 9500 13200 6100 { 12000 - 12002 } { 12100 - 12102 }
            { 12200 - 12202 } 100 200 { 300 - 307 } { 400 - 405 } 7000
            8700 8900 9200 10000 10100 10200 10300 { 10400 - 10403 } {
            10500 - 10503 } { 10600 - 10616 } 500 501 600 601 11300
            11500 { 7400 - 7403 } 12700 13100 6600 6601 { 6700 - 6702 }
            6800 6801 { 6900 - 6902 }
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   78    11000   5.6094E-01 # 11000
   79    11001   3.1347E-02 # 11001
   80    11002   3.8256E+01 # 11002
   81     9500   1.5235E+03 # 9500
   82    13200   1.8090E+01 # 13200
   83     6100   1.4130E+03 # 6100
   84    12000   4.8239E+00 # 12000
   85    12001   1.1577E+01 # 12001
   86    12002   2.3155E+01 # 12002
   87    12100   4.8821E+00 # 12100
   88    12101   1.1717E+01 # 12101
   89    12102   2.3434E+01 # 12102
   90    12200   8.6984E+01 # 12200
   91    12201   2.0370E+03 # 12201
   92    12202   8.6916E+01 # 12202
   93      100   6.7533E+00 # 100
   94      200   6.8350E+00 # 200
   95      300   3.2116E-02 # 300
   96      301   6.2028E-02 # 301
   97      302   1.9599E-02 # 302
   98      303   1.0038E+00 # 303
   99      304   1.5225E-02 # 304
  100      305   6.1763E-02 # 305
  101      306   1.9616E-02 # 306
  102      307   1.0024E+00 # 307
  103      400   3.1316E-01 # 400
  104      401   8.3855E-01 # 401
  105      402   2.0971E-01 # 402
  106      403   1.0516E-01 # 403
  107      404   2.1027E-01 # 404
  108      405   7.3856E-01 # 405
  109     7000   7.7656E+00 # 7000
  110     8700   3.6154E+02 # 8700
  111     8900   1.4697E+02 # 8900
  112     9200   1.5770E+02 # 9200
  113    10000   9.3188E+00 # 10000
  114    10100   8.7516E+00 # 10100
  115    10200   4.2965E+00 # 10200
  116    10300   1.6134E+02 # 10300
  117    10400   4.3635E+00 # 10400
  118    10401   4.3643E+00 # 10401
  119    10402   1.8695E+00 # 10402
  120    10403   1.8741E+00 # 10403
  121    10500   6.0897E+00 # 10500
  122    10501   6.0870E+00 # 10501
  123    10502   2.6101E+00 # 10502
  124    10503   2.6105E+00 # 10503
  125    10600   2.9419E+01 # 10600
  126    10601   3.0271E+01 # 10601
  127    10602   1.6520E+02 # 10602
  128    10603   1.6331E+02 # 10603
  129    10604   7.0622E+02 # 10604
  130    10605   7.5852E+02 # 10605
  131    10606   3.6262E+02 # 10606
  132    10607   4.1663E+02 # 10607
  133    10608   2.1300E+02 # 10608
  134    10609   2.3559E+02 # 10609
  135    10610   3.1499E+03 # 10610
  136    10611   3.2898E+03 # 10611
  137    10612   1.2547E+03 # 10612
  138    10613   1.4293E+03 # 10613
  139    10614   5.5584E+02 # 10614
  140    10615   6.5363E+02 # 10615
  141    10616   1.2701E+04 # 10616
  142      500   8.7021E-02 # 500
  143      501   3.5867E-02 # 501
  144      600   9.7861E-03 # 600
  145      601   9.5451E-03 # 601
  146    11300   1.2496E+02 # 11300
  147    11500   1.1647E+01 # 11500
  148     7400   1.6484E+01 # 7400
  149     7401   2.5759E+00 # 7401
  150     7402   6.4732E+00 # 7402
  151     7403   5.4681E+02 # 7403
  152    12700   1.3204E+02 # 12700
  153    13100   2.9118E+01 # 13100
  154     6600   3.2146E-02 # 6600
  155     6601   1.5646E-01 # 6601
  156     6700   9.4823E-01 # 6700
  157     6701   3.0903E-01 # 6701
  158     6702   5.9539E+00 # 6702
  159     6800   3.2142E-02 # 6800
  160     6801   1.5647E-01 # 6801
  161     6900   9.4829E-01 # 6900
  162     6901   3.0903E-01 # 6901
  163     6902   5.9538E+00 # 6902
   e-type =    1            # e-mesh is given by the below data
       ne =    401          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
            9.50000E-03  1.05000E-02  1.15000E-02  1.25000E-02  1.35000E-02
            1.45000E-02  1.55000E-02  1.65000E-02  1.75000E-02  1.85000E-02
            1.95000E-02  2.05000E-02  2.15000E-02  2.25000E-02  2.35000E-02
            2.45000E-02  2.55000E-02  2.65000E-02  2.75000E-02  2.85000E-02
            2.95000E-02  3.05000E-02  3.15000E-02  3.25000E-02  3.35000E-02
            3.45000E-02  3.55000E-02  3.65000E-02  3.75000E-02  3.85000E-02
            3.95000E-02  4.05000E-02  4.15000E-02  4.25000E-02  4.35000E-02
            4.45000E-02  4.55000E-02  4.65000E-02  4.75000E-02  4.85000E-02
            4.95000E-02  5.05000E-02  5.15000E-02  5.25000E-02  5.35000E-02
            5.45000E-02  5.55000E-02  5.65000E-02  5.75000E-02  5.85000E-02
            5.95000E-02  6.05000E-02  6.15000E-02  6.25000E-02  6.35000E-02
            6.45000E-02  6.55000E-02  6.65000E-02  6.75000E-02  6.85000E-02
            6.95000E-02  7.05000E-02  7.15000E-02  7.25000E-02  7.35000E-02
            7.45000E-02  7.55000E-02  7.65000E-02  7.75000E-02  7.85000E-02
            7.95000E-02  8.05000E-02  8.15000E-02  8.25000E-02  8.35000E-02
            8.45000E-02  8.55000E-02  8.65000E-02  8.75000E-02  8.85000E-02
            8.95000E-02  9.05000E-02  9.15000E-02  9.25000E-02  9.35000E-02
            9.45000E-02  9.55000E-02  9.65000E-02  9.75000E-02  9.85000E-02
            9.95000E-02  1.00500E-01  1.01500E-01  1.02500E-01  1.03500E-01
            1.04500E-01  1.05500E-01  1.06500E-01  1.07500E-01  1.08500E-01
            1.09500E-01  1.10500E-01  1.11500E-01  1.12500E-01  1.13500E-01
            1.14500E-01  1.15500E-01  1.16500E-01  1.17500E-01  1.18500E-01
            1.19500E-01  1.20500E-01  1.21500E-01  1.22500E-01  1.23500E-01
            1.24500E-01  1.25500E-01  1.26500E-01  1.27500E-01  1.28500E-01
            1.29500E-01  1.30500E-01  1.31500E-01  1.32500E-01  1.33500E-01
            1.34500E-01  1.35500E-01  1.36500E-01  1.37500E-01  1.38500E-01
            1.39500E-01  1.40500E-01  1.41500E-01  1.42500E-01  1.43500E-01
            1.44500E-01  1.45500E-01  1.46500E-01  1.47500E-01  1.48500E-01
            1.49500E-01  1.50500E-01  1.51500E-01  1.52500E-01  1.53500E-01
            1.54500E-01  1.55500E-01  1.56500E-01  1.57500E-01  1.58500E-01
            1.59500E-01  1.60500E-01  1.61500E-01  1.62500E-01  1.63500E-01
            1.64500E-01  1.65500E-01  1.66500E-01  1.67500E-01  1.68500E-01
            1.69500E-01  1.70500E-01  1.71500E-01  1.72500E-01  1.73500E-01
            1.74500E-01  1.75500E-01  1.76500E-01  1.77500E-01  1.78500E-01
            1.79500E-01  1.80500E-01  1.81500E-01  1.82500E-01  1.83500E-01
            1.84500E-01  1.85500E-01  1.86500E-01  1.87500E-01  1.88500E-01
            1.89500E-01  1.90500E-01  1.91500E-01  1.92500E-01  1.93500E-01
            1.94500E-01  1.95500E-01  1.96500E-01  1.97500E-01  1.98500E-01
            1.99500E-01  2.00500E-01  2.07500E-01  2.12500E-01  2.17500E-01
            2.22500E-01  2.27500E-01  2.32500E-01  2.37500E-01  2.42500E-01
            2.47500E-01  2.52500E-01  2.57500E-01  2.62500E-01  2.67500E-01
            2.72500E-01  2.77500E-01  2.82500E-01  2.87500E-01  2.92500E-01
            2.97500E-01  3.02500E-01  3.07500E-01  3.12500E-01  3.17500E-01
            3.22500E-01  3.27500E-01  3.32500E-01  3.37500E-01  3.42500E-01
            3.47500E-01  3.52500E-01  3.57500E-01  3.62500E-01  3.67500E-01
            3.72500E-01  3.77500E-01  3.82500E-01  3.87500E-01  3.92500E-01
            3.97500E-01  4.02500E-01  4.15000E-01  4.25000E-01  4.35000E-01
            4.45000E-01  4.55000E-01  4.65000E-01  4.75000E-01  4.85000E-01
            4.95000E-01  5.05000E-01  5.15000E-01  5.25000E-01  5.35000E-01
            5.45000E-01  5.55000E-01  5.65000E-01  5.75000E-01  5.85000E-01
            5.95000E-01  6.05000E-01  6.15000E-01  6.25000E-01  6.35000E-01
            6.45000E-01  6.55000E-01  6.65000E-01  6.75000E-01  6.85000E-01
            6.95000E-01  7.05000E-01  7.15000E-01  7.25000E-01  7.35000E-01
            7.45000E-01  7.55000E-01  7.65000E-01  7.75000E-01  7.85000E-01
            7.95000E-01  8.05000E-01  8.15000E-01  8.25000E-01  8.35000E-01
            8.45000E-01  8.55000E-01  8.65000E-01  8.75000E-01  8.85000E-01
            8.95000E-01  9.05000E-01  9.15000E-01  9.25000E-01  9.35000E-01
            9.45000E-01  9.55000E-01  9.65000E-01  9.75000E-01  9.85000E-01
            9.95000E-01  1.00500E+00  1.07500E+00  1.12500E+00  1.17500E+00
            1.22500E+00  1.27500E+00  1.32500E+00  1.37500E+00  1.42500E+00
            1.47500E+00  1.52500E+00  1.57500E+00  1.62500E+00  1.67500E+00
            1.72500E+00  1.77500E+00  1.82500E+00  1.87500E+00  1.92500E+00
            1.97500E+00  2.02500E+00  2.07500E+00  2.12500E+00  2.17500E+00
            2.22500E+00  2.27500E+00  2.32500E+00  2.37500E+00  2.42500E+00
            2.47500E+00  2.52500E+00  2.57500E+00  2.62500E+00  2.67500E+00
            2.72500E+00  2.77500E+00  2.82500E+00  2.87500E+00  2.92500E+00
            2.97500E+00  3.02500E+00  3.15000E+00  3.25000E+00  3.35000E+00
            3.45000E+00  3.55000E+00  3.65000E+00  3.75000E+00  3.85000E+00
            3.95000E+00  4.05000E+00  4.15000E+00  4.25000E+00  4.35000E+00
            4.45000E+00  4.55000E+00  4.65000E+00  4.75000E+00  4.85000E+00
            4.95000E+00  5.05000E+00  5.15000E+00  5.25000E+00  5.35000E+00
            5.45000E+00  5.55000E+00  5.65000E+00  5.75000E+00  5.85000E+00
            5.95000E+00  6.05000E+00  6.30000E+00  6.50000E+00  6.70000E+00
            6.90000E+00  7.10000E+00  7.30000E+00  7.50000E+00  7.70000E+00
            7.90000E+00  8.10000E+00  8.30000E+00  8.50000E+00  8.70000E+00
            8.90000E+00  9.10000E+00  9.30000E+00  9.50000E+00  9.70000E+00
            9.90000E+00  1.02500E+01  1.07500E+01  1.12500E+01  1.17500E+01
            1.22500E+01  1.27500E+01  1.32500E+01  1.37500E+01  1.42500E+01
            1.47500E+01  1.52500E+01  1.57500E+01  1.62500E+01  1.67500E+01
            1.72500E+01  1.77500E+01  1.82500E+01  1.87500E+01  1.92500E+01
            1.97500E+01  2.25000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = Result_JPM_external_fluence.out  # file name of output for the above axis
     part =  photon   
# kf/name :  22       
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         570 (  0)           0 (  0)         570 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =   1400

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(photon  ),hh0l n  
#  e-lower      e-upper        photon    r.err 
   9.5000E-03   1.0500E-02   9.4677E-11  0.5683
   1.0500E-02   1.1500E-02   4.4289E-10  0.6140
   1.1500E-02   1.2500E-02   2.2363E-10  0.6998
   1.2500E-02   1.3500E-02   9.7695E-11  0.5271
   1.3500E-02   1.4500E-02   7.0365E-11  1.0000
   1.4500E-02   1.5500E-02   2.5902E-10  0.7704
   1.5500E-02   1.6500E-02   1.6597E-10  1.0000
   1.6500E-02   1.7500E-02   4.4291E-10  0.8523
   1.7500E-02   1.8500E-02   5.7625E-10  0.8088
   1.8500E-02   1.9500E-02   0.0000E+00  0.0000
   1.9500E-02   2.0500E-02   3.8924E-10  0.6818
   2.0500E-02   2.1500E-02   1.2016E-09  0.8139
   2.1500E-02   2.2500E-02   3.5048E-10  0.7308
   2.2500E-02   2.3500E-02   5.9032E-10  0.5471
   2.3500E-02   2.4500E-02   1.1073E-09  0.6194
   2.4500E-02   2.5500E-02   4.4570E-09  0.6291
   2.5500E-02   2.6500E-02   1.2862E-09  0.5872
   2.6500E-02   2.7500E-02   4.7319E-10  1.0000
   2.7500E-02   2.8500E-02   6.5617E-10  1.0000
   2.8500E-02   2.9500E-02   1.3547E-10  1.0000
   2.9500E-02   3.0500E-02   1.6470E-10  1.0000
   3.0500E-02   3.1500E-02   5.9663E-09  0.4412
   3.1500E-02   3.2500E-02   2.0343E-09  0.4191
   3.2500E-02   3.3500E-02   9.3402E-09  0.3649
   3.3500E-02   3.4500E-02   6.8743E-09  0.4305
   3.4500E-02   3.5500E-02   8.9019E-09  0.3436
   3.5500E-02   3.6500E-02   9.7220E-09  0.3944
   3.6500E-02   3.7500E-02   9.7537E-09  0.4749
   3.7500E-02   3.8500E-02   1.3089E-08  0.3368
   3.8500E-02   3.9500E-02   9.6574E-09  0.4193
   3.9500E-02   4.0500E-02   1.7205E-08  0.3094
   4.0500E-02   4.1500E-02   1.1417E-08  0.4646
   4.1500E-02   4.2500E-02   1.7725E-08  0.3268
   4.2500E-02   4.3500E-02   1.7447E-08  0.3163
   4.3500E-02   4.4500E-02   1.9302E-08  0.3149
   4.4500E-02   4.5500E-02   2.3277E-08  0.3220
   4.5500E-02   4.6500E-02   2.6487E-08  0.2635
   4.6500E-02   4.7500E-02   2.8719E-08  0.2567
   4.7500E-02   4.8500E-02   2.6166E-08  0.2499
   4.8500E-02   4.9500E-02   3.1200E-08  0.2384
   4.9500E-02   5.0500E-02   5.0054E-08  0.2211
   5.0500E-02   5.1500E-02   5.4090E-08  0.1961
   5.1500E-02   5.2500E-02   3.9349E-08  0.2109
   5.2500E-02   5.3500E-02   4.8349E-08  0.2195
   5.3500E-02   5.4500E-02   6.1903E-08  0.2096
   5.4500E-02   5.5500E-02   7.8658E-08  0.1784
   5.5500E-02   5.6500E-02   5.7789E-08  0.2278
   5.6500E-02   5.7500E-02   6.9722E-08  0.1827
   5.7500E-02   5.8500E-02   6.6071E-08  0.1747
   5.8500E-02   5.9500E-02   4.0187E-08  0.2300
   5.9500E-02   6.0500E-02   6.6312E-08  0.1938
   6.0500E-02   6.1500E-02   3.3759E-08  0.2281
   6.1500E-02   6.2500E-02   5.5043E-08  0.1757
   6.2500E-02   6.3500E-02   6.1766E-08  0.1885
   6.3500E-02   6.4500E-02   6.2737E-08  0.1777
   6.4500E-02   6.5500E-02   5.6928E-08  0.1773
   6.5500E-02   6.6500E-02   7.2277E-08  0.1838
   6.6500E-02   6.7500E-02   8.6724E-08  0.1682
   6.7500E-02   6.8500E-02   8.5075E-08  0.1670
   6.8500E-02   6.9500E-02   9.8692E-08  0.1506
   6.9500E-02   7.0500E-02   7.5839E-08  0.1691
   7.0500E-02   7.1500E-02   5.7243E-08  0.1938
   7.1500E-02   7.2500E-02   7.1706E-08  0.1774
   7.2500E-02   7.3500E-02   8.6550E-08  0.1635
   7.3500E-02   7.4500E-02   8.1891E-08  0.1683
   7.4500E-02   7.5500E-02   6.1757E-08  0.1785
   7.5500E-02   7.6500E-02   5.8041E-08  0.1805
   7.6500E-02   7.7500E-02   1.0469E-07  0.1788
   7.7500E-02   7.8500E-02   8.0599E-08  0.1818
   7.8500E-02   7.9500E-02   7.1328E-08  0.1888
   7.9500E-02   8.0500E-02   7.6711E-08  0.1723
   8.0500E-02   8.1500E-02   1.0375E-07  0.1530
   8.1500E-02   8.2500E-02   8.0716E-08  0.1705
   8.2500E-02   8.3500E-02   9.3405E-08  0.1551
   8.3500E-02   8.4500E-02   9.7589E-08  0.1531
   8.4500E-02   8.5500E-02   1.2231E-07  0.1451
   8.5500E-02   8.6500E-02   8.5986E-08  0.1614
   8.6500E-02   8.7500E-02   9.8832E-08  0.1553
   8.7500E-02   8.8500E-02   1.0251E-07  0.1561
   8.8500E-02   8.9500E-02   9.1271E-08  0.1576
   8.9500E-02   9.0500E-02   9.4401E-08  0.1481
   9.0500E-02   9.1500E-02   7.8513E-08  0.1713
   9.1500E-02   9.2500E-02   1.0864E-07  0.1542
   9.2500E-02   9.3500E-02   1.1025E-07  0.1632
   9.3500E-02   9.4500E-02   7.8765E-08  0.1654
   9.4500E-02   9.5500E-02   9.7311E-08  0.1657
   9.5500E-02   9.6500E-02   8.7289E-08  0.1590
   9.6500E-02   9.7500E-02   8.3204E-08  0.1621
   9.7500E-02   9.8500E-02   1.1489E-07  0.1427
   9.8500E-02   9.9500E-02   1.0317E-07  0.1553
   9.9500E-02   1.0050E-01   9.5912E-08  0.1522
   1.0050E-01   1.0150E-01   9.4304E-08  0.1639
   1.0150E-01   1.0250E-01   9.5917E-08  0.1654
   1.0250E-01   1.0350E-01   9.6975E-08  0.1652
   1.0350E-01   1.0450E-01   7.6303E-08  0.1737
   1.0450E-01   1.0550E-01   9.5392E-08  0.1600
   1.0550E-01   1.0650E-01   9.3827E-08  0.1722
   1.0650E-01   1.0750E-01   6.5406E-08  0.1767
   1.0750E-01   1.0850E-01   6.3754E-08  0.1765
   1.0850E-01   1.0950E-01   7.9145E-08  0.1616
   1.0950E-01   1.1050E-01   7.4550E-08  0.1812
   1.1050E-01   1.1150E-01   8.6506E-08  0.1628
   1.1150E-01   1.1250E-01   1.2979E-07  0.1402
   1.1250E-01   1.1350E-01   1.0080E-07  0.1730
   1.1350E-01   1.1450E-01   9.2362E-08  0.1564
   1.1450E-01   1.1550E-01   1.2888E-07  0.1392
   1.1550E-01   1.1650E-01   9.7287E-08  0.1643
   1.1650E-01   1.1750E-01   1.1354E-07  0.1493
   1.1750E-01   1.1850E-01   6.3822E-08  0.1765
   1.1850E-01   1.1950E-01   1.0190E-07  0.1598
   1.1950E-01   1.2050E-01   1.2263E-07  0.1436
   1.2050E-01   1.2150E-01   1.0881E-07  0.1516
   1.2150E-01   1.2250E-01   1.2555E-07  0.1497
   1.2250E-01   1.2350E-01   1.1536E-07  0.1423
   1.2350E-01   1.2450E-01   7.7978E-08  0.1654
   1.2450E-01   1.2550E-01   1.0859E-07  0.1646
   1.2550E-01   1.2650E-01   9.5466E-08  0.1556
   1.2650E-01   1.2750E-01   9.8817E-08  0.1538
   1.2750E-01   1.2850E-01   1.0675E-07  0.1496
   1.2850E-01   1.2950E-01   1.0565E-07  0.1655
   1.2950E-01   1.3050E-01   1.1546E-07  0.1558
   1.3050E-01   1.3150E-01   1.1163E-07  0.1477
   1.3150E-01   1.3250E-01   9.1433E-08  0.1723
   1.3250E-01   1.3350E-01   8.3102E-08  0.1645
   1.3350E-01   1.3450E-01   1.0323E-07  0.1599
   1.3450E-01   1.3550E-01   1.2570E-07  0.1369
   1.3550E-01   1.3650E-01   1.0328E-07  0.1517
   1.3650E-01   1.3750E-01   1.3449E-07  0.1433
   1.3750E-01   1.3850E-01   9.7104E-08  0.1627
   1.3850E-01   1.3950E-01   6.8393E-08  0.1654
   1.3950E-01   1.4050E-01   1.2084E-07  0.1433
   1.4050E-01   1.4150E-01   8.6231E-08  0.1738
   1.4150E-01   1.4250E-01   8.5250E-08  0.1695
   1.4250E-01   1.4350E-01   9.2965E-08  0.1845
   1.4350E-01   1.4450E-01   9.4943E-08  0.1679
   1.4450E-01   1.4550E-01   7.5541E-08  0.1666
   1.4550E-01   1.4650E-01   1.5512E-07  0.1334
   1.4650E-01   1.4750E-01   9.1736E-08  0.1608
   1.4750E-01   1.4850E-01   7.0365E-08  0.1747
   1.4850E-01   1.4950E-01   1.0187E-07  0.1602
   1.4950E-01   1.5050E-01   8.4163E-08  0.1725
   1.5050E-01   1.5150E-01   9.4906E-08  0.1617
   1.5150E-01   1.5250E-01   7.8868E-08  0.1648
   1.5250E-01   1.5350E-01   1.0897E-07  0.1519
   1.5350E-01   1.5450E-01   9.0232E-08  0.1769
   1.5450E-01   1.5550E-01   6.2225E-08  0.1778
   1.5550E-01   1.5650E-01   8.4905E-08  0.1745
   1.5650E-01   1.5750E-01   8.8127E-08  0.1690
   1.5750E-01   1.5850E-01   9.3347E-08  0.1680
   1.5850E-01   1.5950E-01   8.1563E-08  0.1817
   1.5950E-01   1.6050E-01   1.2449E-07  0.1547
   1.6050E-01   1.6150E-01   8.9740E-08  0.1714
   1.6150E-01   1.6250E-01   1.0166E-07  0.1526
   1.6250E-01   1.6350E-01   8.9906E-08  0.1638
   1.6350E-01   1.6450E-01   1.0694E-07  0.1618
   1.6450E-01   1.6550E-01   7.3539E-08  0.1780
   1.6550E-01   1.6650E-01   7.7329E-08  0.2304
   1.6650E-01   1.6750E-01   8.4120E-08  0.1850
   1.6750E-01   1.6850E-01   1.1170E-07  0.1512
   1.6850E-01   1.6950E-01   8.9132E-08  0.1662
   1.6950E-01   1.7050E-01   1.1842E-07  0.1492
   1.7050E-01   1.7150E-01   6.4651E-08  0.1961
   1.7150E-01   1.7250E-01   1.1754E-07  0.1528
   1.7250E-01   1.7350E-01   8.4956E-08  0.1557
   1.7350E-01   1.7450E-01   7.6933E-08  0.1731
   1.7450E-01   1.7550E-01   1.0819E-07  0.1556
   1.7550E-01   1.7650E-01   8.5287E-08  0.1758
   1.7650E-01   1.7750E-01   8.0682E-08  0.1843
   1.7750E-01   1.7850E-01   8.6726E-08  0.1700
   1.7850E-01   1.7950E-01   1.2873E-07  0.1638
   1.7950E-01   1.8050E-01   8.1889E-08  0.1772
   1.8050E-01   1.8150E-01   6.4194E-08  0.2060
   1.8150E-01   1.8250E-01   8.9128E-08  0.1849
   1.8250E-01   1.8350E-01   9.2682E-08  0.1654
   1.8350E-01   1.8450E-01   9.6166E-08  0.1726
   1.8450E-01   1.8550E-01   6.5051E-08  0.1888
   1.8550E-01   1.8650E-01   9.6886E-08  0.1622
   1.8650E-01   1.8750E-01   9.2326E-08  0.1721
   1.8750E-01   1.8850E-01   9.6081E-08  0.1584
   1.8850E-01   1.8950E-01   6.4634E-08  0.1969
   1.8950E-01   1.9050E-01   9.3241E-08  0.1838
   1.9050E-01   1.9150E-01   7.1668E-08  0.1905
   1.9150E-01   1.9250E-01   7.0788E-08  0.1717
   1.9250E-01   1.9350E-01   1.5380E-07  0.1409
   1.9350E-01   1.9450E-01   9.1840E-08  0.1613
   1.9450E-01   1.9550E-01   7.2690E-08  0.1963
   1.9550E-01   1.9650E-01   9.3571E-08  0.1670
   1.9650E-01   1.9750E-01   9.2150E-08  0.1704
   1.9750E-01   1.9850E-01   7.9648E-08  0.1704
   1.9850E-01   1.9950E-01   7.8470E-08  0.1698
   1.9950E-01   2.0050E-01   8.2527E-08  0.1719
   2.0050E-01   2.0750E-01   6.5305E-07  0.0618
   2.0750E-01   2.1250E-01   6.1549E-07  0.0627
   2.1250E-01   2.1750E-01   5.8307E-07  0.0652
   2.1750E-01   2.2250E-01   5.6253E-07  0.0686
   2.2250E-01   2.2750E-01   5.4711E-07  0.0670
   2.2750E-01   2.3250E-01   5.3842E-07  0.0666
   2.3250E-01   2.3750E-01   4.5994E-07  0.0766
   2.3750E-01   2.4250E-01   4.6469E-07  0.0719
   2.4250E-01   2.4750E-01   4.6851E-07  0.0731
   2.4750E-01   2.5250E-01   4.2777E-07  0.0789
   2.5250E-01   2.5750E-01   4.6738E-07  0.0768
   2.5750E-01   2.6250E-01   4.4591E-07  0.0765
   2.6250E-01   2.6750E-01   4.1770E-07  0.0820
   2.6750E-01   2.7250E-01   3.9406E-07  0.0831
   2.7250E-01   2.7750E-01   3.9751E-07  0.0840
   2.7750E-01   2.8250E-01   4.1060E-07  0.0847
   2.8250E-01   2.8750E-01   3.9653E-07  0.0851
   2.8750E-01   2.9250E-01   3.7194E-07  0.0836
   2.9250E-01   2.9750E-01   3.5816E-07  0.0927
   2.9750E-01   3.0250E-01   3.2191E-07  0.0907
