[ T-Deposit ]
    title = Deposit energy in organ and tissue regions
     mesh =  reg            # mesh type is region-wise
      reg = 1400 1401 1700 1701 1900 1901 2200 2201 2400 2401 2600 2900
            2901 3200 3201 3400 3401 3700 3701 3900 4100 { 4300 - 4323
            } 4500 4501 4700 4900 5100 5300 5500 5600 { 7600 - 7602 } {
            8000 - 8002 } { 8400 - 8402 } 9700 9900 { 7200 - 7203 }
            6200 6300 6400 6500 12900 13000 { 13700 - 13702 } { 11000 -
            11002 } 9500 13200 6100 { 12000 - 12002 } { 12100 - 12102 }
            { 12200 - 12202 } 100 200 { 300 - 307 } { 400 - 405 } 7000
            8700 8900 9200 10000 10100 10200 10300 { 10400 - 10403 } {
            10500 - 10503 } { 10600 - 10616 } 500 501 600 601 11300
            11500 { 7400 - 7403 } 12700 13100 6600 6601 { 6700 - 6702 }
            6800 6801 { 6900 - 6902 }
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   78    11000   5.6094E-01 # 11000
   79    11001   3.1347E-02 # 11001
   80    11002   3.8256E+01 # 11002
   81     9500   1.5235E+03 # 9500
   82    13200   1.8090E+01 # 13200
   83     6100   1.4130E+03 # 6100
   84    12000   4.8239E+00 # 12000
   85    12001   1.1577E+01 # 12001
   86    12002   2.3155E+01 # 12002
   87    12100   4.8821E+00 # 12100
   88    12101   1.1717E+01 # 12101
   89    12102   2.3434E+01 # 12102
   90    12200   8.6984E+01 # 12200
   91    12201   2.0370E+03 # 12201
   92    12202   8.6916E+01 # 12202
   93      100   6.7533E+00 # 100
   94      200   6.8350E+00 # 200
   95      300   3.2116E-02 # 300
   96      301   6.2028E-02 # 301
   97      302   1.9599E-02 # 302
   98      303   1.0038E+00 # 303
   99      304   1.5225E-02 # 304
  100      305   6.1763E-02 # 305
  101      306   1.9616E-02 # 306
  102      307   1.0024E+00 # 307
  103      400   3.1316E-01 # 400
  104      401   8.3855E-01 # 401
  105      402   2.0971E-01 # 402
  106      403   1.0516E-01 # 403
  107      404   2.1027E-01 # 404
  108      405   7.3856E-01 # 405
  109     7000   7.7656E+00 # 7000
  110     8700   3.6154E+02 # 8700
  111     8900   1.4697E+02 # 8900
  112     9200   1.5770E+02 # 9200
  113    10000   9.3188E+00 # 10000
  114    10100   8.7516E+00 # 10100
  115    10200   4.2965E+00 # 10200
  116    10300   1.6134E+02 # 10300
  117    10400   4.3635E+00 # 10400
  118    10401   4.3643E+00 # 10401
  119    10402   1.8695E+00 # 10402
  120    10403   1.8741E+00 # 10403
  121    10500   6.0897E+00 # 10500
  122    10501   6.0870E+00 # 10501
  123    10502   2.6101E+00 # 10502
  124    10503   2.6105E+00 # 10503
  125    10600   2.9419E+01 # 10600
  126    10601   3.0271E+01 # 10601
  127    10602   1.6520E+02 # 10602
  128    10603   1.6331E+02 # 10603
  129    10604   7.0622E+02 # 10604
  130    10605   7.5852E+02 # 10605
  131    10606   3.6262E+02 # 10606
  132    10607   4.1663E+02 # 10607
  133    10608   2.1300E+02 # 10608
  134    10609   2.3559E+02 # 10609
  135    10610   3.1499E+03 # 10610
  136    10611   3.2898E+03 # 10611
  137    10612   1.2547E+03 # 10612
  138    10613   1.4293E+03 # 10613
  139    10614   5.5584E+02 # 10614
  140    10615   6.5363E+02 # 10615
  141    10616   1.2701E+04 # 10616
  142      500   8.7021E-02 # 500
  143      501   3.5867E-02 # 501
  144      600   9.7861E-03 # 600
  145      601   9.5451E-03 # 601
  146    11300   1.2496E+02 # 11300
  147    11500   1.1647E+01 # 11500
  148     7400   1.6484E+01 # 7400
  149     7401   2.5759E+00 # 7401
  150     7402   6.4732E+00 # 7402
  151     7403   5.4681E+02 # 7403
  152    12700   1.3204E+02 # 12700
  153    13100   2.9118E+01 # 13100
  154     6600   3.2146E-02 # 6600
  155     6601   1.5646E-01 # 6601
  156     6700   9.4823E-01 # 6700
  157     6701   3.0903E-01 # 6701
  158     6702   5.9539E+00 # 6702
  159     6800   3.2142E-02 # 6800
  160     6801   1.5647E-01 # 6801
  161     6900   9.4829E-01 # 6900
  162     6901   3.0903E-01 # 6901
  163     6902   5.9538E+00 # 6902
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =   reg           # axis of output
     file = Result_JPM_internal_deposit_energy.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         167 (  0)           0 (  0)         167 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1

x: Serial Num. of Region
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h:   x      n     n          y(all     ),l3 n   
#  num    reg     volume       all       r.err 
    1    1400   1.0119E+02   2.0470E-16  0.0156
    2    1401   9.9853E+01   4.0459E-16  0.0115
    3    1700   7.4705E+01   2.5412E-16  0.0157
    4    1701   7.9083E+01   8.5623E-16  0.0089
    5    1900   8.1785E+01   1.2742E-16  0.0212
    6    1901   8.1513E+01   3.8430E-16  0.0128
    7    2200   5.9924E+01   5.0497E-17  0.0400
    8    2201   6.3236E+01   1.2337E-16  0.0258
    9    2400   1.8610E+01   2.3830E-16  0.0310
   10    2401   2.2316E+01   3.6876E-16  0.0237
   11    2600   9.3119E+02   4.3760E-17  0.0108
   12    2900   2.1548E+02   7.4697E-17  0.0167
   13    2901   2.1938E+02   1.0559E-16  0.0143
   14    3200   2.7875E+02   6.4476E-18  0.0517
   15    3201   2.6764E+02   5.8442E-18  0.0558
   16    3400   4.1812E+02   1.9459E-18  0.0803
   17    3401   4.2381E+02   1.3437E-18  0.0909
   18    3700   2.5904E+02   1.7723E-18  0.1064
   19    3701   2.5648E+02   1.0832E-18  0.1359
   20    3900   1.0737E+02   1.2022E-16  0.0187
   21    4100   6.1090E+02   3.1161E-16  0.0051
   22    4300   1.8009E+01   3.0133E-16  0.0296
   23    4301   1.8155E+01   5.0155E-16  0.0232
   24    4302   1.6123E+01   3.3089E-16  0.0296
   25    4303   1.6021E+01   5.5944E-16  0.0232
   26    4304   1.7610E+01   4.0188E-16  0.0253
   27    4305   1.9296E+01   7.5652E-16  0.0185
   28    4306   1.9100E+01   5.8196E-16  0.0210
   29    4307   2.5803E+01   1.0854E-15  0.0136
   30    4308   2.3454E+01   8.7633E-16  0.0160
   31    4309   3.3317E+01   1.6959E-15  0.0098
   32    4310   3.3212E+01   1.4259E-15  0.0108
   33    4311   3.1431E+01   2.5704E-15  0.0083
   34    4312   2.6185E+01   1.6800E-15  0.0111
   35    4313   3.5099E+01   3.2187E-15  0.0071
   36    4314   2.3022E+01   8.2806E-16  0.0161
   37    4315   2.5366E+01   2.7676E-15  0.0089
   38    4316   2.2135E+01   8.3614E-16  0.0164
   39    4317   2.2748E+01   2.7768E-15  0.0094
   40    4318   1.7348E+01   9.0712E-16  0.0178
   41    4319   1.4157E+01   3.1423E-15  0.0111
   42    4320   1.0298E+01   1.1856E-15  0.0201
   43    4321   7.2074E+00   4.0416E-15  0.0136
   44    4322   1.6259E+00   2.1306E-15  0.0384
   45    4323   2.1792E+00   5.5054E-15  0.0214
   46    4500   1.2060E+02   2.3847E-16  0.0127
   47    4501   1.2116E+02   4.0270E-16  0.0100
   48    4700   1.0891E+02   1.4785E-16  0.0168
   49    4900   2.9818E+02   1.7046E-15  0.0034
   50    5100   2.8017E+02   2.0051E-15  0.0032
   51    5300   1.7242E+02   3.7129E-16  0.0090
   52    5500   6.6584E+01   1.0140E-15  0.0090
   53    5600   1.9393E+00   1.8528E-16  0.1112
   54    7600   7.3789E+00   2.6052E-15  0.0125
   55    7601   5.3382E-01   2.5757E-15  0.0247
   56    7602   1.1722E+02   2.5998E-15  0.0048
   57    8000   6.8906E+00   8.3112E-16  0.0224
   58    8001   5.0859E-01   8.0338E-16  0.0453
   59    8002   1.1715E+02   7.9595E-16  0.0082
   60    8400   4.0860E+00   2.5756E-16  0.0485
   61    8401   3.1844E-01   2.5931E-16  0.1021
   62    8402   6.6347E+01   2.5553E-16  0.0184
   63    9700   2.3255E+03   8.8920E-16  0.0037
   64    9900   2.2884E+03   2.0930E-15  0.0025
   65    7200   1.5419E+00   2.9969E-15  0.0174
   66    7201   1.0330E+00   3.1458E-15  0.0189
   67    7202   5.1932E+00   3.0505E-15  0.0126
   68    7203   1.2811E+02   3.1032E-15  0.0043
   69    6200   6.9373E+00   6.4446E-16  0.0378
   70    6300   4.6794E+00   6.7403E-16  0.0483
   71    6400   6.9601E+00   1.2387E-15  0.0281
   72    6500   4.6794E+00   1.2053E-15  0.0363
   73   12900   1.7784E+01   8.8871E-17  0.0614
   74   13000   1.7784E+01   8.3790E-17  0.0623
   75   13700   3.5685E+01   2.1449E-16  0.0260
   76   13701   1.6875E+00   1.9759E-16  0.0670
   77   13702   1.0778E+00   2.1911E-16  0.0763
   78   11000   5.6094E-01   1.2709E-15  0.0573
   79   11001   3.1347E-02   1.3341E-15  0.1393
   80   11002   3.8256E+01   1.3545E-15  0.0115
   81    9500   1.5235E+03   1.4165E-14  0.0006
   82   13200   1.8090E+01   2.5571E-16  0.0360
   83    6100   1.4130E+03   3.2074E-17  0.0129
   84   12000   4.8239E+00   1.1785E-16  0.1068
   85   12001   1.1577E+01   1.1517E-16  0.0695
   86   12002   2.3155E+01   6.7275E-17  0.0614
   87   12100   4.8821E+00   1.3313E-16  0.0975
   88   12101   1.1717E+01   1.1964E-16  0.0667
   89   12102   2.3434E+01   1.2155E-16  0.0481
   90   12200   8.6984E+01   2.7491E-16  0.0067
   91   12201   2.0370E+03   3.5569E-16  0.0027
   92   12202   8.6916E+01   3.0022E-16  0.0067
   93     100   6.7533E+00   3.2191E-15  0.0182
   94     200   6.8350E+00   8.4189E-15  0.0114
   95     300   3.2116E-02   1.3755E-16  0.5301
   96     301   6.2028E-02   4.6167E-17  0.5177
   97     302   1.9599E-02   4.7516E-17  0.4496
   98     303   1.0038E+00   6.5343E-17  0.2292
   99     304   1.5225E-02   7.7770E-17  0.4067
  100     305   6.1763E-02   9.3944E-17  0.5028
  101     306   1.9616E-02   1.5575E-16  0.5921
  102     307   1.0024E+00   8.4447E-17  0.2451
  103     400   3.1316E-01   7.8535E-17  0.1799
  104     401   8.3855E-01   9.4032E-17  0.1417
  105     402   2.0971E-01   9.8044E-17  0.2319
  106     403   1.0516E-01   6.0135E-17  0.2681
  107     404   2.1027E-01   7.0364E-17  0.2129
  108     405   7.3856E-01   7.8451E-17  0.1248
  109    7000   7.7656E+00   1.3013E-14  0.0074
  110    8700   3.6154E+02   2.6265E-15  0.0029
  111    8900   1.4697E+02   1.5612E-15  0.0056
  112    9200   1.5770E+02   4.8879E-15  0.0033
  113   10000   9.3188E+00   6.8682E-17  0.0907
  114   10100   8.7516E+00   1.3765E-15  0.0232
  115   10200   4.2965E+00   4.7074E-17  0.1777
  116   10300   1.6134E+02   2.8366E-15  0.0039
  117   10400   4.3635E+00   3.5962E-16  0.0623
  118   10401   4.3643E+00   8.1751E-16  0.0416
  119   10402   1.8695E+00   1.4936E-16  0.1453
  120   10403   1.8741E+00   4.0470E-16  0.0940
  121   10500   6.0897E+00   1.6697E-17  0.2180
  122   10501   6.0870E+00   1.1485E-17  0.2198
  123   10502   2.6101E+00   0.0000E+00  0.0000
  124   10503   2.6105E+00   0.0000E+00  0.0000
  125   10600   2.9419E+01   2.1388E-16  0.0311
  126   10601   3.0271E+01   3.6670E-16  0.0234
  127   10602   1.6520E+02   2.3426E-16  0.0127
  128   10603   1.6331E+02   3.9087E-16  0.0100
  129   10604   7.0622E+02   2.7282E-16  0.0062
  130   10605   7.5852E+02   7.1233E-16  0.0038
  131   10606   3.6262E+02   1.4217E-16  0.0118
  132   10607   4.1663E+02   4.5367E-16  0.0065
  133   10608   2.1300E+02   4.0166E-17  0.0281
  134   10609   2.3559E+02   1.1614E-16  0.0166
  135   10610   3.1499E+03   2.1067E-17  0.0105
  136   10611   3.2898E+03   2.4887E-17  0.0096
  137   10612   1.2547E+03   1.6930E-18  0.0600
  138   10613   1.4293E+03   8.4797E-19  0.0700
  139   10614   5.5584E+02   2.8502E-18  0.0688
  140   10615   6.5363E+02   1.9875E-18  0.0753
  141   10616   1.2701E+04   9.8712E-16  0.0008
  142     500   8.7021E-02   1.1711E-16  0.2825
  143     501   3.5867E-02   8.9690E-17  0.5388
  144     600   9.7861E-03   3.9529E-17  0.5198
  145     601   9.5451E-03   7.7657E-17  0.6464
  146   11300   1.2496E+02   4.9078E-15  0.0036
  147   11500   1.1647E+01   1.8912E-16  0.0525
  148    7400   1.6484E+01   1.3326E-15  0.0094
  149    7401   2.5759E+00   1.3243E-15  0.0160
  150    7402   6.4732E+00   1.2980E-15  0.0121
  151    7403   5.4681E+02   1.2333E-15  0.0031
  152   12700   1.3204E+02   9.6808E-16  0.0074
  153   13100   2.9118E+01   8.3383E-16  0.0168
  154    6600   3.2146E-02   7.0784E-17  1.0000
  155    6601   1.5646E-01   6.4034E-17  0.7187
  156    6700   9.4823E-01   3.7118E-17  0.3062
  157    6701   3.0903E-01   5.2587E-17  0.7032
  158    6702   5.9539E+00   4.1398E-17  0.1611
  159    6800   3.2142E-02   1.2822E-17  0.9565
  160    6801   1.5647E-01   1.6735E-16  0.5623
  161    6900   9.4829E-01   3.1864E-17  0.2588
  162    6901   3.0903E-01   2.2564E-17  0.7839
  163    6902   5.9538E+00   5.7389E-17  0.1376

#   sum over                 5.0664E-11

'no. =  1'
msuc: {\huge Deposit energy in organ and tissue regions}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.33}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+07 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+07 # Total history number or Total batch number
# maxcas =     1000000 # History / Batch, only used for istdev=1
# bitrseed = 1000110000001000111111101100101001110101110010000011011101101000 # bit data of rseed
